run_id,mode,ticker,label_horizon_days,label_threshold,precision,recall,f1,accuracy,buy_rate,positive_rate,lift,tp,fp,tn,fn,support,model_final_path,config_path,metrics_path,manifest_path,git_commit,start_time,end_time,status
20260214_192729__7d7df546,finetune,NVDA,20,0.1,0.5822485207100592,0.625158831003812,0.6029411764705882,0.5705765407554672,0.559973492379059,0.5215374420145792,1.116408,492,353,369,295,1509,runs\20260214_192729__7d7df546\models\finetuned\NVDA\final.zip,runs\20260214_192729__7d7df546\config.yaml,runs\20260214_192729__7d7df546\metrics.json,runs\20260214_192729__7d7df546\manifest.json,,2026-02-14T19:27:29.909964,2026-02-14T19:47:43.369299,READY
20260214_192729__7d7df546,finetune,GOOGL,20,0.1,0.27167630057803466,0.2865853658536585,0.27893175074183973,0.6779324055666004,0.2292909211398277,0.21736249171636846,1.249877,94,252,929,234,1509,runs\20260214_192729__7d7df546\models\finetuned\GOOGL\final.zip,runs\20260214_192729__7d7df546\config.yaml,runs\20260214_192729__7d7df546\metrics.json,runs\20260214_192729__7d7df546\manifest.json,,2026-02-14T19:27:29.909964,2026-02-14T19:47:43.369299,READY
20260214_192729__7d7df546,finetune,TSM,20,0.1,0.2802690582959641,0.2777777777777778,0.27901785714285715,0.5719019218025182,0.29555997349237906,0.2982107355864811,0.939836,125,321,738,325,1509,runs\20260214_192729__7d7df546\models\finetuned\TSM\final.zip,runs\20260214_192729__7d7df546\config.yaml,runs\20260214_192729__7d7df546\metrics.json,runs\20260214_192729__7d7df546\manifest.json,,2026-02-14T19:27:29.909964,2026-02-14T19:47:43.369299,READY
20260214_192729__7d7df546,base,ALL,20,0.1,0.434331093463653,0.45431309904153355,0.4440974391005621,0.6068036227081953,0.3616081290037552,0.3457035564391429,1.256369,711,926,2036,854,4527,runs\20260214_192729__7d7df546\models\base\final.zip,runs\20260214_192729__7d7df546\config.yaml,runs\20260214_192729__7d7df546\metrics.json,runs\20260214_192729__7d7df546\manifest.json,,2026-02-14T19:27:29.909964,2026-02-14T19:47:43.369299,READY
20260214_211942__285b9b99,finetune,NVDA,10,0.05,0.6618004866180048,0.5984598459845984,0.6285384170999422,0.5738899933730948,0.5447316103379721,0.6023856858846919,1.098632,544,278,322,365,1509,runs\20260214_211942__285b9b99\models\finetuned\NVDA\final.zip,runs\20260214_211942__285b9b99\config.yaml,runs\20260214_211942__285b9b99\metrics.json,runs\20260214_211942__285b9b99\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:19:42.711513,2026-02-14T21:37:18.559349,READY
20260214_211942__285b9b99,finetune,GOOGL,10,0.05,0.42857142857142855,0.3619744058500914,0.39246778989098113,0.5937707090788602,0.3061630218687873,0.36249171636845595,1.182293,198,264,698,349,1509,runs\20260214_211942__285b9b99\models\finetuned\GOOGL\final.zip,runs\20260214_211942__285b9b99\config.yaml,runs\20260214_211942__285b9b99\metrics.json,runs\20260214_211942__285b9b99\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:19:42.711513,2026-02-14T21:37:18.559349,READY
20260214_211942__285b9b99,finetune,TSM,10,0.05,0.398,0.33728813559322035,0.3651376146788991,0.5414181577203446,0.3313452617627568,0.390987408880053,1.017936,199,301,618,391,1509,runs\20260214_211942__285b9b99\models\finetuned\TSM\final.zip,runs\20260214_211942__285b9b99\config.yaml,runs\20260214_211942__285b9b99\metrics.json,runs\20260214_211942__285b9b99\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:19:42.711513,2026-02-14T21:37:18.559349,READY
20260214_211942__285b9b99,base,ALL,10,0.05,0.5274663677130045,0.45992179863147603,0.49138381201044384,0.5696929533907665,0.3940799646565054,0.45195493704440026,1.167077,941,843,1638,1105,4527,runs\20260214_211942__285b9b99\models\base\final.zip,runs\20260214_211942__285b9b99\config.yaml,runs\20260214_211942__285b9b99\metrics.json,runs\20260214_211942__285b9b99\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:19:42.711513,2026-02-14T21:37:18.559349,READY
20260214_213718__8c304a74,finetune,NVDA,10,0.1,0.3973941368078176,0.5136842105263157,0.44811753902663,0.6017229953611664,0.4068919814446653,0.314777998674619,1.262458,244,370,664,231,1509,runs\20260214_213718__8c304a74\models\finetuned\NVDA\final.zip,runs\20260214_213718__8c304a74\config.yaml,runs\20260214_213718__8c304a74\metrics.json,runs\20260214_213718__8c304a74\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:37:18.575312,2026-02-14T21:58:58.718767,READY
20260214_213718__8c304a74,finetune,GOOGL,10,0.1,0.15,0.3629032258064516,0.2122641509433962,0.7786613651424784,0.1988071570576541,0.08217362491716368,1.825403,45,255,1130,79,1509,runs\20260214_213718__8c304a74\models\finetuned\GOOGL\final.zip,runs\20260214_213718__8c304a74\config.yaml,runs\20260214_213718__8c304a74\metrics.json,runs\20260214_213718__8c304a74\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:37:18.575312,2026-02-14T21:58:58.718767,READY
20260214_213718__8c304a74,finetune,TSM,10,0.1,0.12680115273775217,0.21890547263681592,0.16058394160583941,0.6951623591782637,0.2299536116633532,0.13320079522862824,0.951955,44,303,1005,157,1509,runs\20260214_213718__8c304a74\models\finetuned\TSM\final.zip,runs\20260214_213718__8c304a74\config.yaml,runs\20260214_213718__8c304a74\metrics.json,runs\20260214_213718__8c304a74\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:37:18.575312,2026-02-14T21:58:58.718767,READY
20260214_213718__8c304a74,base,ALL,10,0.1,0.2640761300555115,0.41625,0.3231441048034935,0.6918489065606361,0.27855091672189086,0.17671747294013695,1.494341,333,928,2799,467,4527,runs\20260214_213718__8c304a74\models\base\final.zip,runs\20260214_213718__8c304a74\config.yaml,runs\20260214_213718__8c304a74\metrics.json,runs\20260214_213718__8c304a74\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:37:18.575312,2026-02-14T21:58:58.718767,READY
20260214_215858__73c35bd6,finetune,NVDA,10,0.15,0.2033195020746888,0.4666666666666667,0.28323699421965315,0.6713055003313453,0.3194168323392976,0.13916500994035785,1.460996,98,384,915,112,1509,runs\20260214_215858__73c35bd6\models\finetuned\NVDA\final.zip,runs\20260214_215858__73c35bd6\config.yaml,runs\20260214_215858__73c35bd6\metrics.json,runs\20260214_215858__73c35bd6\manifest.json,80e7ddfa2c85d2dfeb333245d547c5fab24e3929,2026-02-14T21:58:58.742600,2026-02-14T22:22:01.720957,READY
